src,tgt,dataset,human,annotator_1,annotator_2
Tom şaşkın olduğunu söylüyor.,Tom kafasının karıştığını söylüyor.,tat,2,2,2
Tom bir saat koşu bandında yürüdü.,Tom koşu bandında bir saat yürüdü.,tat,3,3,3
Tom'a güvenmek zorunda kalacaksın.,Tom'a güvenmek zorundasın.,tat,2,3,2
Tom ve Mary son zamanlarda evlendiler.,Tom ve Mary yakın zamanda evlendiler.,tat,3,3,3
Gerçekten de o kadar yaşlı mıyız?,Gerçekten o kadar yaşlı mıyız?,tat,3,3,3
Çok travmatik bir şeydir.,Bu çok travmatik bir şey.,tat,3,3,3
Aslında onun Tom olduğunu sanmıyorum.,"Aslında, Tom olduğunu sanmıyorum.",tat,3,3,3
Sen bir ilişki yaşıyor musun?,Bir ilişkin mi var?,tat,2,3,2
Ben sadece birinci sınıf öğrencisiyim.,Ben daha birinci sınıftayım.,tat,3,3,3
Biz hala sebebini bilmiyoruz.,Nedenini hala bilmiyoruz.,tat,3,3,3
Babam bunu biliyor mu?,Babamın bundan haberi var mı?,tat,3,3,3
Tom bir sopayla yere yazdı.,Tom yere bir sopayla yazdı.,tat,3,3,3
Onların işi sözlüğe örnekler eklemek.,Görevleri sözlüğe örnekler eklemektir.,tat,3,3,3
Bunun kişisel olduğuna eminim.,Eminim kişisel bir şeydir.,tat,3,3,3
"Polis, Dan'i mutfak zemininde ölü buldu.",Polis Dan'i mutfakta ölü buldu.,tat,3,3,3
O köpeği onlara verdin mi?,O köpeği onlara sen mi verdin?,tat,1,2,1
Tom o kadar açtı ki köpek maması yedi.,Tom o kadar acıkmıştı ki köpek maması yedi.,tat,3,3,3
O ona vurmak için kışkırtıldı.,Ona vurması için kışkırtıldı.,tat,3,3,3
Lütfen bunu İngilizceye çevir.,Lütfen bunu İngilizceye yaz.,tat,1,2,1
Dilbilgin ve telaffuzun kusursuz.,Dilbilgisi ve telaffuzu mükemmel.,tat,2,2,2
Tom kedisinin dışarı çıkmasına izin verdi.,Tom kediyi dışarı çıkardı.,tat,1,1,2
Bu basit ama sevgiyle yapılmış.,Basit ama aşkla yapılmış.,tat,2,3,2
Afrika'nın doğası zengindir.,Afrika'nın çok doğası vardır.,tat,1,1,1
Tom'a bizden bahsetmek zorunda kaldım.,Tom'a bizden bahsetmeliydim.,tat,1,2,1
Sanırım Tom'a bir iPad almalıyız.,Bence Tom'a bir iPad almalıyız.,tat,3,3,3
Biraz zaman yaratsak iyi olur.,Biraz zaman kazansak iyi olur.,tat,2,2,3
Onları bulmada yardımına ihtiyacımız var.,Onları bulmak için yardımına ihtiyacımız var.,tat,3,3,3
O aşağıya kahvaltıya indi.,Kahvaltıya geldi.,tat,2,2,3
"Kar, treni seferden alıkoydu.",Kar trenin çalışmasını engelledi.,tat,2,3,2
Onu gerçekten çok sevmeliyim.,Ondan çok hoşlanıyorum.,tat,1,1,2
Tom'a çok yakın yaşıyorum.,Tom'a çok yakın oturuyorum.,tat,3,3,3
Bunu nasıl düzelttiğimi hatırlamıyorum.,Nasıl tamir ettiğimi hatırlamıyorum.,tat,2,3,2
Belki toplantıyı iptal etmelisin.,Belki de toplantıyı iptal etmelisin.,tat,3,3,3
Bütün gündür seni bekliyorum.,Bütün gün seni bekledim.,tat,3,3,3
"Tom bencil, değil mi?","Tom bencil biri, değil mi?",tat,3,3,3
Bu aşina olduğum bir şey değil.,Bu benim bildiğim bir şey değil.,tat,3,3,3
Şimdiye kadar kaç tane şehir bombalandı?,Şimdiye kadar kaç şehir bombalandı?,tat,3,3,3
"Kazaya sebep olan şoför, adamı gördü.",Kazaya sebep olan sürücü adamı görmüş.,tat,3,3,3
Aslına uygun bir çeviri ekleyebilirsin.,Kelimenin tam anlamıyla bir çeviri ekleyebilirsiniz.,tat,1,1,1
Tom yaşlı bir adam gibi konuşur.,Tom yaşlı bir adam gibi konuşuyor.,tat,3,3,3
Bence bir fark yaratacak.,Bence bu bir fark yaratacak.,tat,3,3,3
Ben kırsalda yaşamak istiyorum.,Taşrada yaşamak istiyorum.,tat,3,3,3
Yakında biz sizi hapse gönderebileceğiz.,Yakında seni hapse gönderebileceğiz.,tat,2,2,3
Biz Amerika'dan un ithal ederiz.,Amerika'dan un ithal ediyoruz.,tat,2,3,2
Belki Tom ve ben de yanılıyoruzdur.,Belki Tom ve ben yanılıyoruzdur.,tat,3,3,3
Ben çok iyi hissetmiyordum.,Kendimi pek iyi hissetmiyordum.,tat,3,3,3
Bir saniye içinde geri geleceğim.,Hemen dönerim.,tat,2,2,3
Yarın için ödev nedir?,Yarınki görev ne?,tat,3,3,3
Biz onu çok ciddiye aldık.,Bunu çok ciddiye aldık.,tat,2,2,2
Ne kadar süredir bu öksürüğün var?,Ne zamandır öksürüyorsun?,tat,3,3,3
""" Can't "" diye bir sözcük yoktur.","""Can't"" diye bir kelime yoktur.",tat,3,3,3
Tom iyi Fransızca konuşur.,Tom iyi Fransızca biliyor.,tat,2,2,3
Biz onun bir parçası olmak istedik.,Bunun bir parçası olmak istedik.,tat,3,3,3
Neden Tom'la birlikte Boston'a gitmeliyim?,Neden Tom'la Boston'a gideyim ki?,tat,3,3,3
Biraz yardıma ihtiyaç duyabiliriz.,Yardıma ihtiyacımız olabilir.,tat,3,3,3
Tom kendini Fransızca olarak ifade edemez.,Tom kendini Fransızca anlamıyor.,tat,1,1,1
O dün gece geç yattı.,Dün gece geç saatlere kadar yattı.,tat,1,1,1
Acaba Tom bugün neden bu kadar uykulu.,Tom'un bugün neden bu kadar uykulu olduğunu merak ediyorum.,tat,3,3,3
Biz onun olduğunu gördük.,Olanları gördük.,tat,2,2,3
Tom çok gitar çalıyor.,Tom çok gitar çalar.,tat,3,3,3
Tom'u bul ve onu öldür.,Tom'u bul ve öldür.,tat,3,3,3
Konuşma gösterileri seyretmeyi severim.,Talk show izlemeyi seviyorum.,tat,3,3,3
"Yarın konuşma yapıyorsun, değil mi?","Yarın bir konuşma yapacaksın, değil mi?",tat,3,3,3
O beni usulca dudaklarımdan öptü.,Beni dudaklarımdan usulca öptü.,tat,3,3,3
Bu haberi kim yayıyor olabilir?,Bu haberi kim veriyor olabilir?,tat,2,2,2
"Yine de, savaş bitmedi.",Yine de savaş bitmemişti.,tat,3,3,3
Park yerinde neredeyse hiç araba yoktu.,Otoparkta neredeyse hiç araba yoktu.,tat,3,3,3
Şimdi seninle konuşmam gerekiyor.,Seninle şimdi konuşmam gerek.,tat,3,3,3
Senin ablan ile tanışmak istiyorum.,Ablanla tanışmak istiyorum.,tat,3,3,3
O fikri Tom'a ne verdi?,Tom'a bu fikri veren neydi?,tat,3,3,3
"Elinden geleni yap, Tom.","Sırtını koy, Tom.",tat,0,0,0
Küçük kız kardeşim beni öldürmek istiyor.,Küçük kardeşim beni öldürmek istiyor.,tat,2,2,3
Pek çok yıldız galaksiyi oluşturur.,Galaksi içinde birçok yıldız oluşuyor.,tat,0,1,0
Bunun ne olduğunu sana söyleyemem.,Sana ne olduğunu söylemeyeceğim.,tat,2,2,3
Ken'in senden çok daha fazla kitabı var.,Ken'in senden daha çok kitabı var.,tat,2,2,3
"Tom'un bu yarışı kazanması gerekir, sanırım.",Tom bu yarışı kazanmalı bence.,tat,3,3,3
Kız kardeşim senden daha genç.,Kız kardeşim senden küçük.,tat,3,3,3
Tom eve kadar yol boyunca koştu.,Tom eve kadar koştu.,tat,2,2,3
Sen çok mu acıktın?,Çok mu açsın?,tat,3,3,3
"Ben fakirim, ona gücüm yetmez.","Ben, fakir olan, bunu karşılayamam.",tat,2,2,3
Bu Tom ve kedisinin bir resmidir.,Tom ve kedisinin fotoğrafı.,tat,3,3,3
Kış benim gözde mevsimimdir.,Kış benim en sevdiğim mevsimdir.,tat,2,2,3
Tom bir hata yaptığını fark etmedi.,Tom hata yaptığının farkında değildi.,tat,3,3,3
Onu Tom mu yaptı?,Tom başardı mı?,tat,1,1,2
Uğradığımı Tom'a söyler misin?,Tom'a uğradığımı söyler misin?,tat,3,3,3
Hiç bir işçiyi kovdun mu?,Hiç işçi kovdun mu?,tat,3,3,3
Onlar sadece oraya gitmemizi istemiyorlar.,Oraya girmemizi istemiyorlar.,tat,2,2,2
Sanırım Tom henüz gitmedi.,Sanırım Tom henüz ayrılmadı.,tat,2,3,2
Tom sigara içmemeye söz verdi.,Tom sigara içmeyeceğine söz verdi.,tat,3,3,3
Tom açık kapıyı itti.,Tom kapıyı zorla açtı.,tat,2,2,2
Bir kerize benziyor muyum?,Embesil gibi mi görünüyorum?,tat,3,3,3
Bu tartışma çok siyasi oluyor.,Bu tartışma çok politik olmaya başladı.,tat,3,3,3
Bana başka bir oda gösterir misin?,Bana başka bir oda gösterebilir misin?,tat,3,3,3
Biz buna aylardır kafa yorduk.,Aylarca bunun için üzüldük.,tat,1,1,1
Neredeyse her zaman tartışmaları kazanırım.,Hemen hemen her tartışmayı kazanırım.,tat,3,3,3
Koleje kaydolan tek çocuktum.,Üniversiteye kaydolan tek çocuktum.,tat,2,3,2
Onlar sadece umudunu kaybetti.,Sadece umutlarını yitirdiler.,tat,3,3,3
O gömleği nerede aldın?,Bu gömleği nereden buldun?,tat,2,2,2
O bir öğrenci gibi görünüyor.,Görünüşe göre o bir öğrenci.,tat,3,3,3
Biz bir sürü gürültü yaptık.,Çok ses çıkardık.,tat,3,3,3
Tom onu buldu mu?,Tom buldu mu?,tat,2,2,3
Tom'u aramak zorundayız.,Tom'u aramalıyız.,tat,2,2,3
Beni zaman zaman hatırla.,Ara sıra beni hatırla.,tat,3,3,3
Tom erken kalkmaya alışık.,Tom erken kalkmaya alışkındır.,tat,3,3,3
Tom'un bunu yapmasına yardım etmek istiyoruz.,Tom'a yardım etmek istiyoruz.,tat,2,2,2
Problemi çözmek onun için zordu.,Sorunu çözmek onun için zor.,tat,3,3,3
"Zaten Tom burada değildi, değil mi?","Tom buraya gelmedi, değil mi?",tat,2,3,2
Ben bir helikopter kullanabilirim.,Bir helikoptere pilotluk yapabilirim.,tat,3,3,3
Onlara telefon etsen iyi olur.,Onları arasan iyi olur.,tat,3,3,3
Ben sık sık depresif hissediyorum.,Sık sık depresyona giriyorum.,tat,3,3,3
"Sami, Leyla'ya acı çektirdi.",Sami Layla'ya acı çektirdi.,tat,3,3,3
Sorunun bir parçası da benim.,Ben de sorunun bir parçasıyım.,tat,3,3,3
Öğleden sonra saat beşte orada olacağım.,Akşam beşte orada olurum.,tat,3,3,3
Benim annem de çok otoriterdi.,Annem de çok katıydı.,tat,2,2,2
Saat kaçta dersiniz biter?,Dersin kaçta bitiyor?,tat,2,2,3
O bizim grupta değil.,Bizim grubumuzda değil.,tat,3,3,3
Tom da kayak sever.,Tom da kayak yapmayı seviyor.,tat,3,3,3
Tom notu Mary'ye uzattı.,Tom notu Mary'e verdi.,tat,2,3,2
İşte mucize burada başlıyor.,Sihrin gerçekleştiği yer burası.,tat,1,1,2
Tom ve Mary beraber şarkı söyleyecekler.,Tom ve Mary birlikte şarkı söyleyecekler.,tat,3,3,3
Tom o doğduğundan beri Mary'yi tanıyor.,"Tom, Mary'i doğduğundan beri tanır.",tat,2,2,3
Seni sonra temizlemek zor!,Seni temizlemek çok zor!,tat,-1,3,1
Ben spor salonunda çalışmaktan hoşlanırım.,Spor salonunda çalışmak hoşuma gidiyor.,tat,3,3,3
Bence onun adı Mary.,Sanırım adı Mary.,tat,2,3,2
Benim her zaman bir not defterim var.,Her zaman bir not defterim vardır.,tat,3,3,3
Ne zaman başım derde girse yanımda oldu.,Ne zaman başım belaya girse yanımdaydı.,tat,3,3,3
Polisler Tom'un lastiklerine ateş ettiler.,Polis Tom'un lastiklerini vurdu.,tat,3,3,3
Ne olduğunu ikimiz de biliyoruz.,İkimiz de ne olduğunu biliyoruz.,tat,3,3,3
Ben de onu gördüm.,Onu ben de gördüm.,tat,3,3,3
Hasta olan bir oğlum var.,Hasta bir oğlum var.,tat,3,3,3
Tom atlara binmede iyidir.,Tom ata binmekte iyidir.,tat,2,2,3
Kulübün başkanı olmaya davet edildi.,Kulübün başkanlığına davet edildi.,tat,3,3,3
Neden Tom beni görmek istemiyor?,Tom neden beni görmek istemiyor?,tat,3,3,3
Neden Tom Mary'yi öpmek istemezdi?,Tom neden Mary'i öpmek istemesin ki?,tat,-1,1,3
Ben hep bunların iki ucun en iyi özelliklerine sahip olduklarını düşünmüşümdür.,Ve sık sık dünyanın en iyisine sahip olduklarını düşünüyorum.,ted,1,1,1
SOPA ve PIPA'nın gerçek etkileri istenilenlerden çok daha farklı olacak.,SOPA ve PIPA'nın gerçek etkileri önerilen etkilerden farklı olacak.,ted,2,2,3
Ve bu mesaj gerçekten de bugünkü toplum için çok değerli.,"Ve bu mesaj, açıkçası, bugün toplum için çok değerli.",ted,3,3,3
Ve belki farkettiğiniz gibi bu mavi noktaların çoğu okyanusun ortasında duruyor.,"Ve bu mavi noktalarda fark etmiş olabileceğiniz şey, çoğu okyanusun ortasında.",ted,3,3,3
TR : Katılmak için kendinizi bu kadar zorlamasaydınız.,Yüksek seviyedeki etkileşim için teşekkürler.,ted,0,0,1
Bunun ne demek oldugunu bir dusunsenize,Bunun ne anlama geldiğini bir düşün.,ted,2,3,2
Anaokulu anaokulunda başlar.,Anaokulu anaokulunda başlıyor.,ted,3,3,3
Onu sizin için işaretliyim.,Senin için altını çizeyim.,ted,-1,3,1
Neden bundan bahsediyorum? Çünkü çok yakında İkinci Aşama kabilesi olarak adlandırdığımız bir kabileye gireceğim. Böyle bir şey.,"Ve bunun konuyla ilgili olmasının sebebi çok yakında ikinci aşama kabilesi olarak adlandırdığımız, buna benzeyen bir kabileye doğru yürüyebilmem.",ted,2,2,2
"Bunun olmasına imkan yok. "" dedim","Böyle bir şey asla olmaz.""",ted,1,2,1
"Bunun aksine, şu anda mutsuz olmak ile kısa bir süre aklın başka bir yerde olması arasında hiçbir ilişki yok.","Buna karşılık, şu anda mutsuz olmak ve kısa bir süre sonra zihin değiştirmek arasında bir ilişki yoktur.",ted,0,0,1
"Tren tam kalkarken, genç bir çift içeri girdi tam da basınçlı kapıları kapanırken.",Tren tam gitmek üzereyken genç bir çift içeri giriyor ve pnömatik kapıları kapatmak üzereler.,ted,2,2,2
İşte bulmaca şu.,İşte puzzle.,ted,2,3,2
Üniversite son sınıftayken Avrupann Entellektüel tarihi isimli bir ders alıyordum.,Son senemde üniversitedeyken Avrupa Entelektüel Tarihi adında bir kurs almıştım.,ted,3,3,3
Yani bu veriyi elverişli kılarak dünyayı daha iyi bir yer yapmaktan söz ediyoruz.,Bu verileri elde ederek dünyayı daha iyi bir hale getirmekten bahsediyoruz.,ted,2,2,2
Ama herhangi biriniz soracak olursa'Aslında ne artıyor? Hiçbir şey artmıyor mu?,"Ama aranızdan biri ""Ne oluyor, bir şey çıkıyor mu?"" diye sorarsa...",ted,1,1,1
"Bunu Uluslararası Para Fonu hazırlamadı. Bunu, 21 yıl çalıştığım ve başkan yardımcılığına terfi ettiğim Dünya Bankası da hazırlamadı.","Uluslararası Para Fonu değil, 21 yıl çalıştığım ve başkan yardımcısı olarak yükseldiğim Dünya Bankası değil.",ted,2,2,2
Diğer taraftan çocukların bakış açılarını genişletebilirsek ancak o zaman kendilerini başkalarının yerine koymayı öğrenebilirler.,"Ve buna karşılık, sadece bakış açılarını öğrettiğinde bir çocuk hayal edebilir ve kendini onlardan farklı birinin yerine koyabilir.",ted,2,2,2
Tıpkı bizim kadar hırslı.,Bu da bizim kadar hırslı.,ted,2,2,3
Geleneksel bir ordu seçenekleri açık şekilde yok.,Sıradan bir askeri seçenekleri yok.,ted,1,2,1
"Çünkü bakarsan, hala görebiliyorum.","Çünkü eğer bakarsan, şimdi, hala görebiliyorum.",ted,3,3,3
Bilinen türlerin sayısı ise beş bin altı bin arasında.,Bilinen beş ila altı bin türü vardır.,ted,3,3,3
"Şimdi doğrunun neye benzediği çerçevesindeki teknoloji, bilim gelişmeye devam ediyor.","Şimdi gerçeğin nasıl göründüğünün etrafındaki teknoloji, bilimin ilerlemesini sağlıyor.",ted,1,1,1
"MR : Gideceğimi ya da yapacağımı ben önermiyorum, ama",Gidip yapacağımı ima etmiyordum ama...,ted,1,1,1
"Onun yerine, buradaki öğe çok daha banal.","Bunun yerine, buradaki element çok daha sıradan.",ted,3,3,3
Süperhidrofobik bir su damlasının bir yüzeyde nasıl davrandığının bir ölçüsü.,Süperhidrofobik bir yüzeydeki bir damla suyu nasıl ölçtüğümüzdür.,ted,1,1,2
"Aslında, ben cevabın gözümüzün önünde olduğunu düşünüyorum. Bilgisayarları kullanmak.",Aslında cevabın tam karşımızda olduğunu düşünüyorum: bilgisayar kullanın.,ted,2,3,2
Ve bu da işin üzücü kısmı.,Ve en üzücü kısmı da bu.,ted,2,2,3
"Yakin bir zamanda, yine Esquire icin radikal durustluk uzerine baska bir yazi yazdim.",Daha yakın zamanda Esquire için radikal dürüstlük hakkında bir makale yazdım.,ted,2,2,2
"Elbette hepiniz bunun ne olduğunu biliyorsunuz, değil mi?","Ve tabii ki hepiniz bunun ne olduğunu biliyorsunuz, değil mi?",ted,3,3,3
Tamam şimdi merceklemeyi sağlayacak şekle sahip.,Lensi üretmek için doğru şekle sahip.,ted,1,2,1
Çünkü çocukken çok fazla gitar da çaldım.,Çünkü çocukken ben de çok gitar çalardım.,ted,2,3,2
"Yani, hayvanlarla etkileşime geçme arzusu duyduğumuz her zaman, ki bununla en azından "" Hayvanları beslemeyin! "" tabelası kadar sık karşılaşılır.","Ve ne zaman hayvanlarla etkileşime girmek istesen, ki en azından bu işaret kadar yaygındır: ""Hayvanları beslemeyin.""",ted,2,3,2
Anlatacağım ki baya bi'ilgisi var.,Sana çok şey anlatacağım.,ted,1,1,2
Ama onun geliştirmeleri inanılmazdı.,Ama geliştirmeleri inanılmazdı.,ted,3,3,3
Böyle bir resim karşısında yapabileceğiniz şeylerden biri onu takdir etmek.,Böyle bir resimle yapabileceğin tek şey ona hayran olmaktır.,ted,2,2,2
"Ve bu neden alet kullanımında, başlangıçta, binlerce yıl boyunca, herşey benliğin fiziksel bir modifikasyonu olmuştur.","Ve bunun nedeni, araç kullanımının, başlangıçta binlerce ve binlerce yıldır, her şey benliğimin fiziksel bir modifikasyonu olmuştur.",ted,1,1,1
"Böylece yer değiştirdim. MIT'ye gittim, bitirdim.","Ben de biraz değiştim. MIT'ye gittim, bitirdim.",ted,1,1,2
"Ancak bu yapılar, temelde, dışsallaştırılmış mide ve akciğerlerdir.",Ama bunlar aslında dışsallaştırılmış mideler ve akciğerler.,ted,3,3,3
İşin gerçeği bu. Anlatmaya çalıştığım şey de bu.,Ve bu gerçek ve ben de bunu ortaya çıkarmaya çalışıyorum.,ted,2,3,2
"SJ : Harika, teşekkürler.","SJ : Mükemmel, teşekkürler.",ted,3,3,3
Bazıları bu görüntülerin Irak'taki ayaklanmaları neredeyse diğer her bir oluşumdan daha fazla körüklediğini söyleyebilir.,Bazıları bu görüntülerin Irak'taki ayaklanmayı diğer tüm eylemlerden daha fazla körüklediğini iddia ediyor.,ted,2,3,2
Bu onun evreninin yarattıklarının bir kısmı.,Bu onun evreninin bazı kuşakları.,ted,1,1,1
Harvard Business School'da bitirilmiş bir harita.,Bu Harvard Business School'da bitirilen bir harita.,ted,3,3,3
"Normal insanlar kanuna aykırı yaşıyorlar, ve bu, tam da benim -sizlerin- çocuklarımıza yaptığımız şey.",Sıradan insanlar hayatı kanunlara karşı yaşarlar ve ben de çocuklarımıza bunu yapıyorum.,ted,2,2,3
"Ve onlar yardım isteyebilecek insanlar değiller, kendileri son derece yardımsever olsalar dahi","Ve onlar yardım istemekten hoşlanan insanlar değiller, her ne kadar gelmiş geçmiş en yardımsever insanlar olsalar da.",ted,3,3,3
"Sonra düşündük ki yapılması gereken, emekle ilgili bir halka ilişkiler konusması yapmak el emeğiyle, kalifiye emekle ilgili.","Yani, yapmamız gereken şey, iş için bir halkla ilişkiler kampanyası, el işçiliği, yetenekli bir işçilik hakkında konuşmak.",ted,2,3,2
"Hatta sadece sayfaları temizlemek için "" Vandalizm Karşıtı Ünite "", "" Kibarlık, Olgunluk, Sorumluluk "" gibi gruplar oluşturuyorlar.",Hatta sadece sayfaları temizlemek için Anti-Vandalism Birimi gibi gruplar halinde toplanıyorlar.,ted,1,1,1
"Şimdi, bir sahne kulesinin normalde sağladığı tüm özgürlükleri tabii ki bu süper sahne kulesinde de kullanıyoruz ve bunları sahne kulesiyle oditoryuma kadar yayıyoruz.","Şimdi, süper sinek, kavram şu ki, normalde sinek kulesiyle ilişkilendirdiğiniz tüm özgürlükleri alıp, sinek kulesine ve salona bulaştırıyorsunuz.",ted,0,0,0
"aynı zamanda en temelde savaşta "" kimin "" savaşacağını da etkileyecektir. Diğer bir deyişle, savaş konusunda tüm gerçekleşmiş devrimlerde, gerek makinalı tüfekte, gerek atom bombasında,",En azından yazdığı gibi bir robot öldüğünde annesine mektup yazmak zorunda kalmazsın.,ted,0,0,0
Her yıl kendi yılbaşı kartlarını hazırlarlar,Eskiden her yıl Noel kartı yaparlardı.,ted,1,1,2
"Sizi uyarmalıyım, iki video da oldukça etkileyici.","Seni uyarmalıyım, oldukça güçlüler.",ted,2,2,2
Şişelerde depolanmış rüzgarla çalışıyor.,Ve bu şişelerdeki rüzgarlar üzerinde çalışıyor.,ted,2,2,2
"Tek dezavantajı çizimin sadece bir bölümünü görebiliyordunuz ama özgün çizimler, mimari yapılar için ideal ortam sunuyordu","Bunun beklenmeyen sonuçları, imajınızın sadece bir kısmını görmenizdir, bu yüzden çok serbest stil bir mimari oluşturur.",ted,1,1,1
Şu an işe yarayan ve insanların depoladığı bir tane antiviral var. Tamiflu.,"İnsanların hala işe yarayan bir antiviral var, kabaca Tamiflu.",ted,-1,1,3
"Bu yüzden, nereden başlamam gerektiğini bilmesem de müzikal kompozisyonlardan bahsedeceğim.",Nereden başlayacağımı bilmesem de müzikal kompozisyon hakkında konuşacağım.,ted,2,2,2
"Bu da üzerinde bulunduğu arazi. Jeolojik araştırmalardan biliyoruz ki, buralar Mars'ın en eski bölgeleri.","Ve burası üzerinde göründüğü arazi, ve jeolojik çalışmalardan biliyoruz ki bu bölgeler Mars'ın en eski bölgeleri.",ted,3,3,3
Gerçekten çok kutsaldır.,Burası gerçekten kutsal bir yer.,ted,2,3,2
Empatiyle başla.,Empati ile başla.,ted,3,3,3
""" OSHA? Okyanus. "" diyor","Ve dedi ki, ""OSHA, okyanus.""",ted,1,1,2
Peki kullanıcının videosunun kopya olduğunu nasıl biliyoruz.,Ama kullanıcının videosunun kopya olduğunu nereden biliyoruz?,ted,3,3,3
"Güzel, manlıklı bir ilerleme istersiniz.",Mantıklı bir ilerleme istiyorsun.,ted,3,3,3
Ve birden kaosun içinden düzen doğar.,"Ve aniden, kaostan, düzen.",ted,1,2,1
Fakat ondan daha iyi bir şeyim vardı. Ve o çok basitti.,Ama daha iyi bir şeyim vardı ve çok basitti.,ted,3,3,3
' Tanrı benim kılavuzumdur.'demiştir,"Dedi ki, ""Tanrı benim çobanımdır.""",ted,1,2,1
Güvenlik ve korunmayla ilgili tasarımları konu alıyordu.,Güvenlik ve korumayla ilgilenen tasarımla ilgiliydi.,ted,2,3,2
Burada biraz öne saracağım.,Burada ileri atlayacağım.,ted,3,3,3
"Katrina kasırgasında görüldüğü gibi bir felakete hazırlıklı olmada, sorunları çözebilmede artık sadece devlet kurumlarına güvenemeyiz.","Katrina bize hükümete tamamen güvenemeyeceğimizi gösterdi. Elimizin altında hazır olmamıza, işleri idare edebilmemize.",ted,1,2,1
"Şimdi şu mümkün olacak, ve eğer Craig Venter bugün burada olsaydı, bunun hakkında size birşeyler söyleyebilirdi - bu yılın sonunda 40 milyon dolara insan genomunu sıralamak mümkün olacak.",Bu yılın sonuna kadar insan genomunu 40 milyon dolara dizmek artık mümkün.,ted,-1,0,2
Hayvanın sağ el tarafına gidişi ve oraya burnunu sokması ve bunu her yaptığında bir mavi ışık flaşı alması.,Bu hayvan sağ tarafa gidecek ve burnunu oraya sokacak ve bunu her yaptığında bir mavi ışık çakacak.,ted,2,2,3
İnsanların heyecanını uyandıran biri için burası bir yatırım fırsatıydı.,"Bu, insanların hayal gücünü heyecanlandıran biri için bir yatırım fırsatıydı.",ted,2,3,2
"Işıklar açık görünüyor, ama konu Y2K + 10 problemıne gelince evde kimse yok. Değil mi?","Işıklar açık gibi, ama bu demografik Y2K + 10 probleminde kimse yok, değil mi?",ted,1,1,1
Birinci adam tereddüt eder.,Ve ikinci kaptan tereddüt ediyor.,ted,0,0,1
peki inancı nasıl inşa edersin?,"Peki, inancı nasıl inşa ediyorsun?",ted,3,3,3
"Sonra, bir sabah saat 6'da","Sonra bir sabah erken saatlerde, sabah 6'da.",ted,3,3,3
"Ses : Bir kart destesindeki tüm noktaları toplarsanız, sonuç 365'tir.",Ses : Eğer kart destesindeki tüm noktaları toplarsanız sonuç 365.,ted,3,3,3
"İlk test ürünümüzü Alessi ile ürettik ki, bir kahve ve çay setiydi.",İlk yaptığımız test ürünü Alessi ileydi. Bu da kahve ve çay seti içindi.,ted,2,2,3
"Kötülük doğuran sistemlerin gücüne yurta ve dünyada karşı duralım, olumluya odaklanalım.",Yurtiçi ve yurtdışındaki kötü sistemlerin gücüne karşı çıkalım ve olumlu şeylere odaklanalım.,ted,2,3,2
Önem arzedecek olan nokta mavi ile gösterilen çizgi.,"Önemli olan, mavi olan.",ted,-1,3,1
"Bu konuda hiç bir şey yapılamayacağını, eski bir ayakkabı gibi yıpranacağımızı düşündüler.",Sadece yıprandığını düşündüler. Bu konuda yapabileceğin hiçbir şey yok. Eski bir ayakkabı gibi.,ted,1,1,1
Ve biz IDEO'da bunları yapan insanlara hayranlık guyuyoruz.,Bunu IDEO'da yapan insanları takdir ediyoruz.,ted,2,3,2
"Biz bunu çipe koyduk ; ne görüyoruz? İşte, parainfluenza-4.",Parainfluenza-4'ü gördük.,ted,0,0,1
Bunun en güzel örnekerinden biri Darwin.,Darwin bunun harika bir örneği.,ted,3,3,3
Politikayı takip eden herhangi birisi bunu anlamanın bazı insanlar için ne kadar zor olduğunu doğrulayabilir.,"Politikayı takip eden herkes, bazı insanların bunun ne kadar zor olduğuna tanıklık edebilir.",ted,1,1,2
Daha önce bunu kimse görmedi. Bu tamamen geçen hafta sonuçlandırdığımız bir şey.,Bunu daha önce kimse görmedi.,ted,1,1,2
"Hiçbir şey okuyamadım - sanki hiyeroglif çünkü Kanji idi, yani Japonca'ya adapte edilmiş Çince karakterler.","Hiçbirini okuyamadım çünkü Kanji'ydi, Çince karakterler Japon diline uyum sağladı.",ted,2,2,2
TL : Gerçekten çok teşekkürler.,Gerçekten teşekkür ederiz.,ted,3,3,3
Anladımki kanser insanların özel hayatına girmek için bir pasaport.,"Kanser, samimiyetin pasaportudur.",ted,1,2,1
"Kırıntınız çıtır, ekmeğiniz kabarık olsun.","Kabuğun kıtır kıtır olsun, ekmeğin her zaman yükselsin.",ted,1,1,1
"Peki, kendimizin ötesi derken neyi kastediyoruz?",Kendimizin ötesinde derken neyi kastediyoruz?,ted,2,3,2
"Yeteri kadar alan vardı. Ve en önemlisi, kontrol edebiliyordum.","Yeterince yer vardı ve kontrol bendeydi, ki bu çok önemliydi.",ted,2,2,3
Ama alışveriş de yapmayın.,"Ama aynı zamanda, alışveriş yapma.",ted,2,2,2
"En yakını, Permiyen yok olmasının sağ taraftaki bu güzel yapı nedeniyle bir etkiye sahip olduğu düşünülüyordu.","En son, Permiyan, sağdaki bu güzel yapı nedeniyle bir etki olduğu düşünülmektedir.",ted,2,2,2
"Bağımsız bir gazete, ama siz gelin de bunu yönetimdeki insanlara anlatın.","Bu bağımsız bir gazete, ama bunu yetkili insanlara söyle.",ted,2,2,2
